flt,mjd,fluxcal,fluxcalerr,processing
z,61007.3465,9583.841,698.23206,raw
z,61008.3096,9351.743,422.95148,raw
z,61013.2766,7167.962,637.8729,raw
z,61015.2798,7351.174,712.4769,raw
z,61016.2856,6486.7686,589.7647,raw
z,61016.3511,6574.459,816.4443,raw
z,61039.0423,4104.232,525.10693,raw
z,61041.2915,4988.5327,1619.313,raw
z,61041.2919,5636.635,1579.1342,raw
z,61045.1951,5207.9185,570.7259,raw
z,61045.196,4245.8345,616.842,raw
z,61050.2201,4170.401,405.7874,raw
z,61075.1718,3305.0664,527.62384,raw
z,61076.1962,4265.137,712.0981,raw
z,61095.1108,3122.7285,593.558,raw
z,61095.125,2999.4902,586.352,raw
z,61096.1722,2154.3867,650.47516,raw
z,61098.1411,2228.0881,644.3624,raw
z,61099.0619,3163.547,484.50168,raw
z,61099.0859,2291.8457,629.89514,raw
z,61102.1181,3026.3818,789.52203,raw
z,61106.1396,2769.348,905.8225,raw
z,61125.0563,2162.2095,668.5544,raw
Y,60978.2687,15755.847037333522,519.1013555647746,gp
Y,60979.639873737375,16181.83218950121,457.84167680423286,gp
Y,60981.01104747475,16589.746433515425,450.3779656475591,gp
Y,60982.38222121212,16957.430410369936,470.0602179704126,gp
Y,60983.7533949495,17266.464045937377,496.1478157112242,gp
Y,60985.12456868687,17498.310511973472,525.1422559258314,gp
Y,60986.495742424246,17634.13553977997,565.7160154427859,gp
Y,60987.86691616162,17661.875751525677,624.7923738237843,gp
Y,60989.238089898994,17590.23749911043,691.5695340302818,gp
Y,60990.60926363636,17431.45827367382,754.0569318339119,gp
Y,60991.980437373735,17197.438793968715,803.8031426926866,gp
Y,60993.35161111111,16899.782848917126,835.4465074363513,gp
Y,60994.72278484848,16549.836363205464,846.0142272318035,gp
Y,60996.09395858586,16158.725783430435,834.4808068902813,gp
Y,60997.46513232323,15737.395880809558,801.63045874815,gp
Y,60998.836306060606,15296.647065179983,750.2213786340482,gp
Y,61000.20747979798,14847.172303769354,685.4987493861256,gp
Y,61001.578653535355,14399.593737441424,616.0940860652926,gp
Y,61002.94982727273,13964.499086307042,554.913540174094,gp
Y,61004.3210010101,13550.873448827851,516.3712823653201,gp
Y,61005.69217474748,13152.717385675356,498.34988298548603,gp
Y,61007.06334848485,12755.849725269676,490.3756059247342,gp
Y,61008.434522222225,12345.976833609235,487.44446863269496,gp
Y,61009.8056959596,11913.062439821671,487.60608522019146,gp
Y,61011.176869696974,11460.52039614141,484.2281439419892,gp
Y,61012.54804343434,10994.3100396065,477.1178670251895,gp
Y,61013.919217171715,10520.565054818577,477.0059939694095,gp
Y,61015.29039090909,10052.70972306575,502.0044665034015,gp
Y,61016.66156464646,9611.754719148672,566.9959428048288,gp
Y,61018.03273838384,9209.680379481466,665.6833395906508,gp
Y,61019.40391212121,8845.158581977346,780.2434507146099,gp
Y,61020.775085858586,8515.549984222522,896.9898064605537,gp
Y,61022.14625959596,8218.306606525719,1007.0057294837607,gp
Y,61023.517433333334,7950.96429822359,1104.4601640757005,gp
Y,61024.88860707071,7711.135392875586,1185.414177314537,gp
Y,61026.25978080808,7496.501534728851,1247.142857563759,gp
Y,61027.63095454546,7304.806659290627,1287.7617263894037,gp
Y,61029.00212828283,7133.850111089158,1306.0185579791266,gp
Y,61030.373302020205,6981.479882051227,1301.1778078431082,gp
Y,61031.74447575758,6845.585954100443,1272.9621134630008,gp
Y,61033.115649494954,6724.093729852345,1221.5357880354104,gp
Y,61034.48682323233,6614.957535445636,1147.5291896665979,gp
Y,61035.857996969695,6516.15417965698,1052.1185571141325,gp
Y,61037.22917070707,6425.67655359578,937.2057733731992,gp
Y,61038.60034444444,6341.527255336559,805.8190280583882,gp
Y,61039.97151818182,6261.712223857841,663.0851676165195,gp
Y,61041.34269191919,6184.234366709577,518.8795655075855,gp
Y,61042.713865656566,6107.087165752337,395.412530847807,gp
Y,61044.08503939394,6029.791308446378,339.52771968493994,gp
Y,61045.456213131314,5968.848842684145,383.2382440852297,gp
Y,61046.82738686869,5933.452887952662,485.64177258952014,gp
Y,61048.19856060606,5920.464533830187,598.6207236053394,gp
Y,61049.56973434344,5925.871586994119,700.3227939068962,gp
Y,61050.94090808081,5945.7065381281955,781.9121663518374,gp
Y,61052.312081818185,5976.033409332465,839.8133872157733,gp
Y,61053.68325555556,6012.934666393019,873.1531571222403,gp
Y,61055.05442929293,6052.4981633667885,883.01310843083,gp
Y,61056.42560303031,6090.804086982516,872.4001668425618,gp
Y,61057.796776767675,6123.911868358155,846.622927749532,gp
Y,61059.16795050505,6147.847029436758,813.9248286918265,gp
Y,61060.53912424242,6158.587931384027,785.9837932315874,gp
Y,61061.9102979798,6152.196595271042,776.8487137772445,gp
Y,61063.28147171717,6128.9553666389165,792.2424148116032,gp
Y,61064.652645454546,6093.96528636093,827.9884455904318,gp
Y,61066.02381919192,6052.535630333861,880.458551501382,gp
Y,61067.394992929294,6009.937645806733,948.3369443110878,gp
Y,61068.76616666667,5971.351199450062,1032.1753492800933,gp
Y,61070.13734040404,5939.386992462019,1129.0871788542827,gp
Y,61071.50851414142,5913.434771101256,1231.4770050924817,gp
Y,61072.87968787879,5892.682747352976,1332.773018765611,gp
Y,61074.250861616165,5876.320142666673,1427.8789897892034,gp
Y,61075.62203535354,5863.534560079526,1512.9521959832407,gp
Y,61076.99320909091,5853.509338949489,1585.137586748725,gp
Y,61078.36438282829,5845.4208857625745,1642.3495802282816,gp
Y,61079.73555656566,5838.435974417445,1683.1146695008174,gp
Y,61081.10673030303,5831.709009303811,1706.4659608557704,gp
Y,61082.4779040404,5824.379244395719,1711.878433449501,gp
Y,61083.84907777778,5815.5679514703115,1699.2367845330566,gp
Y,61085.22025151515,5804.375530433112,1668.8317345547575,gp
Y,61086.591425252525,5789.878554591545,1621.3846669170189,gp
Y,61087.9625989899,5771.126743556164,1558.1046242013458,gp
Y,61089.333772727274,5747.139856281319,1480.786317369697,gp
Y,61090.70494646465,5716.904496557243,1391.9627226635403,gp
Y,61092.07612020202,5679.370823064652,1295.1285421416262,gp
Y,61093.447293939396,5633.449155878505,1195.0414960456678,gp
Y,61094.81846767677,5578.0064710559855,1098.0581226276622,gp
Y,61096.189641414145,5511.862774693491,1012.3055118434007,gp
Y,61097.56081515152,5433.316381522029,945.9449832285202,gp
Y,61098.93198888889,5338.698852336638,902.1700491870633,gp
Y,61100.30316262627,5224.130499739404,881.4363446533821,gp
Y,61101.67433636364,5087.736722571473,878.3654819163753,gp
Y,61103.04551010101,4928.6056431272555,885.7327231233149,gp
Y,61104.41668383838,4748.865429999574,894.6692236403002,gp
Y,61105.78785757576,4552.622825146285,896.9370284522843,gp
Y,61107.15903131313,4343.953197631141,887.8643243141279,gp
Y,61108.530205050505,4126.878286588531,866.821115677952,gp
Y,61109.90137878788,3905.380090591152,837.9549549009857,gp
Y,61111.27255252525,3683.414648443839,811.4904955509369,gp
Y,61112.64372626263,3464.9257461531815,804.7655902580541,gp
Y,61114.0149,3253.858584592419,840.0243481996561,gp
g,60968.3019,3439.60553100909,142.17704936097732,gp
g,60969.26005757575,3906.468871026763,217.53064616255148,gp
g,60970.218215151515,4404.0275471268105,311.7431895082386,gp
g,60971.17637272727,4909.152354057394,354.60152347916693,gp
g,60972.13453030303,5398.449619288637,340.1183871029285,gp
g,60973.09268787879,5847.762359557501,276.02311623303495,gp
g,60974.05084545454,6231.658172846542,195.48980082271845,gp
g,60975.0090030303,6524.299460686509,204.2698583213842,gp
g,60975.96716060606,6710.94245242082,334.56431261364474,gp
g,60976.92531818182,6800.410944634784,509.5402355069717,gp
g,60977.883475757575,6808.894977043423,692.4084458795417,gp
g,60978.84163333333,6750.439399786126,871.0576438608581,gp
g,60979.79979090909,6637.161626236508,1039.9346920782423,gp
g,60980.75794848485,6479.49108036,1195.9802107901883,gp
g,60981.71610606061,6286.381158463534,1337.3891410752767,gp
g,60982.67426363636,6065.496826203311,1463.0866945898472,gp
g,60983.63242121212,5823.380638797777,1572.4514413809438,gp
g,60984.59057878788,5565.599675870511,1665.1472785412275,gp
g,60985.548736363635,5296.875618412314,1741.0127402998933,gp
g,60986.50689393939,5021.199960733056,1799.9846227020018,gp
g,60987.46505151515,4741.936142093547,1842.0441397406016,gp
g,60988.423209090906,4461.9101981312,1867.1789806136285,gp
g,60989.38136666667,4183.491369061751,1875.3573239360853,gp
g,60990.33952424242,3908.6639578297472,1866.5114431313036,gp
g,60991.29768181818,3639.0916049504503,1840.5295916287198,gp
g,60992.25583939394,3376.175036276888,1797.255682787416,gp
g,60993.213996969695,3121.104243744552,1736.497075554698,gp
g,60994.17215454546,2874.9059761405424,1658.0417493177436,gp
g,60995.13031212121,2638.4873460952026,1561.6876375592856,gp
g,60996.088469696966,2412.6762996134075,1447.289616225513,gp
g,60997.04662727273,2198.2596451018417,1314.8354421547306,gp
g,60998.00478484848,1996.019299094575,1164.5760447351424,gp
g,60998.962942424245,1806.767375217131,997.2750237481058,gp
g,60999.9211,1631.3807211442713,814.7717134285164,gp
g,61000.879257575754,1470.8354947280004,621.5693347116139,gp
g,61001.837415151516,1326.242365284427,430.75651532353226,gp
g,61002.79557272727,1198.8829287829083,291.1282686720836,gp
g,61003.75373030303,1090.0491759315807,318.2220836976846,gp
g,61004.71188787879,999.1159275951392,460.55986833573564,gp
g,61005.67004545454,924.3752361513641,611.0686502387175,gp
g,61006.628203030305,864.3194897688112,739.1368602476633,gp
g,61007.58636060606,817.6384785124309,836.2324450848708,gp
g,61008.54451818182,783.1996918952683,899.4077585449352,gp
g,61009.502675757576,760.0308010746282,927.6921441046327,gp
g,61010.46083333333,747.3040929792703,921.1047540084513,gp
g,61011.41899090909,744.3226464309619,880.3707870355909,gp
g,61012.37714848485,750.5080604736308,806.9211660603967,gp
g,61013.33530606061,765.3895629045481,703.1137928204544,gp
g,61014.293463636364,788.5943426072498,572.8389075785543,gp
g,61015.25162121212,819.8389628852544,423.3163458712358,gp
g,61016.20977878788,858.921724735075,272.63218753535824,gp
g,61017.167936363636,905.7156977337576,188.23656350046508,gp
g,61018.12609393939,959.4739279864841,247.06880470697476,gp
g,61019.08425151515,1017.2330693180201,323.93957232377676,gp
g,61020.04240909091,1075.5530480248528,356.00047426202576,gp
g,61021.00056666667,1130.9097867187966,330.7567043537662,gp
g,61021.958724242424,1179.6217143349463,251.32997150632173,gp
g,61022.91688181818,1217.7735110628214,159.895129963899,gp
g,61023.87503939394,1241.6363041645461,229.87908971129954,gp
g,61024.833196969696,1251.635894563549,412.25870598636953,gp
g,61025.79135454546,1250.2334865497573,610.1311229809717,gp
g,61026.74951212121,1239.5758944668253,804.7790105749606,gp
g,61027.70766969697,1221.5146511273758,990.2137744999848,gp
g,61028.66582727273,1197.6427560861275,1163.6132228886215,gp
g,61029.623984848484,1169.327121636844,1323.4852184605086,gp
g,61030.582142424246,1137.7371945787763,1469.063103016296,gp
g,61031.5403,1103.870179035194,1600.0227436173536,gp
g,61032.498457575755,1068.573238368904,1716.3193583823206,gp
g,61033.45661515152,1032.5630119679518,1818.0816877533578,gp
g,61034.41477272727,996.442744811952,1905.5387289357432,gp
g,61035.372930303034,960.7172937880906,1978.9671567284292,gp
g,61036.33108787879,925.8062443116885,2038.6528999322095,gp
g,61037.28924545454,892.0553434691553,2084.86292408932,gp
g,61038.247403030306,859.7464313573596,2117.82468287322,gp
g,61039.20556060606,829.106030167492,2137.711555335934,gp
g,61040.16371818182,800.3127305945804,2144.633151509282,gp
g,61041.12187575758,773.5034971040445,2138.6297748793586,gp
g,61042.08003333333,748.7789971545465,2119.67064815096,gp
g,61043.038190909094,726.2080445278436,2087.655782577183,gp
g,61043.99634848485,705.831233182209,2042.421633556761,gp
g,61044.95450606061,687.6638253855381,1983.7509661979357,gp
g,61045.912663636365,671.6979461201354,1911.3876895577184,gp
g,61046.87082121212,657.9041247079804,1825.057858700246,gp
g,61047.82897878788,646.2322141628358,1724.4986769233594,gp
g,61048.78713636364,636.6117087708274,1609.498322922041,gp
g,61049.74529393939,628.9514707048874,1479.9511309554225,gp
g,61050.70345151515,623.1388669693089,1335.935890489639,gp
g,61051.66160909091,619.0383085032645,1177.831969411603,gp
g,61052.61976666667,616.4891737324957,1006.5050849415957,gp
g,61053.577924242425,615.3030891128086,823.6445913608364,gp
g,61054.53608181818,615.2605291233608,632.5142438227467,gp
g,61055.49423939394,616.1066876153751,440.2216584913105,gp
g,61056.4523969697,617.5465612534717,267.9594196814274,gp
g,61057.41055454546,619.2391945136781,197.90592105758387,gp
g,61058.36871212121,620.7937804027997,269.20681997978556,gp
g,61059.32686969697,621.7648256111452,340.1902977753897,gp
g,61060.28502727273,621.6383758723746,361.34200013457365,gp
g,61061.243184848485,619.8213178621984,325.549385651556,gp
g,61062.20134242425,615.6299374574047,244.26513506285622,gp
g,61063.1595,608.2768860265379,190.21637234982327,gp
i,60966.2697,4916.808826659895,381.9592004420191,gp
i,60967.83361616161,6798.506034198553,367.14461691758106,gp
i,60969.39753232323,8762.563447606539,378.55312556545925,gp
i,60970.96144848484,10683.29923952656,342.56372835230604,gp
i,60972.52536464646,12434.675200172669,343.689010614196,gp
i,60974.089280808075,13929.951975179843,478.7685626205085,gp
i,60975.653196969695,15178.165296332156,647.4567500014641,gp
i,60977.21711313131,16200.533241985706,785.1052749549489,gp
i,60978.78102929293,17016.20810233217,867.6407826818306,gp
i,60980.34494545454,17642.41408853503,885.8823987541216,gp
i,60981.90886161616,18094.572862503406,838.8704220366196,gp
i,60983.47277777777,18386.417618867476,732.8365401644677,gp
i,60985.03669393939,18530.096388249596,583.2591559671578,gp
i,60986.600610101006,18536.265171066745,422.18965789437925,gp
i,60988.164526262626,18411.622530236913,308.37348654186775,gp
i,60989.72844242424,18109.245022009865,245.61278441844055,gp
i,60991.29235858586,17537.60733681493,235.6086685664145,gp
i,60992.85627474747,16700.746138922852,270.0794156231828,gp
i,60994.42019090909,15704.123140405023,268.1388365091165,gp
i,60995.984107070704,14659.657143911601,262.6942844028988,gp
i,60997.54802323232,13630.52821212291,272.34835746731113,gp
i,60999.11193939394,12619.355678912514,274.9811314425072,gp
i,61000.67585555555,11628.321214792148,345.7636912518412,gp
i,61002.23977171717,10681.566877098916,427.67144998861556,gp
i,61003.80368787878,9811.976281427562,454.11550911011716,gp
i,61005.3676040404,9052.900785462833,418.21864707190934,gp
i,61006.931520202015,8438.422887883862,369.3433109796326,gp
i,61008.495436363635,7998.164328473115,407.9601521111423,gp
i,61010.05935252525,7713.849364364298,491.93254231136757,gp
i,61011.62326868687,7542.3901670347295,534.5650288237592,gp
i,61013.18718484848,7441.249217106171,504.5608579449748,gp
i,61014.7511010101,7368.333121400472,403.5800139705755,gp
i,61016.31501717171,7281.655132803955,282.0958039175014,gp
i,61017.87893333333,7145.7792397036865,304.59855246338964,gp
i,61019.442849494946,6960.12243927453,454.29592984090544,gp
i,61021.006765656566,6739.946371746464,582.2191725220764,gp
i,61022.57068181818,6500.620952307437,645.5942964536979,gp
i,61024.1345979798,6257.252456177277,636.0113441779031,gp
i,61025.69851414141,6024.8091042260285,560.7114494408853,gp
i,61027.26243030303,5818.24560196928,444.1172275920826,gp
i,61028.826346464644,5652.135763305156,337.98654457717447,gp
i,61030.39026262626,5508.456193787913,271.272772131053,gp
i,61031.95417878788,5318.591920679868,233.50279503067543,gp
i,61033.51809494949,5078.98181162699,212.3711611932714,gp
i,61035.08201111111,4866.578255809551,233.1603391906062,gp
i,61036.64592727272,4715.3944121172635,276.1877482544074,gp
i,61038.20984343434,4612.461987512106,272.33421620784407,gp
i,61039.773759595955,4542.450096838507,294.2992860115811,gp
i,61041.337675757575,4471.69933114644,388.01232364309107,gp
i,61042.90159191919,4360.736567283912,493.8885592187044,gp
i,61044.46550808081,4220.729443840202,558.3831502861956,gp
i,61046.02942424242,4073.92908577505,555.6383242232437,gp
i,61047.59334040404,3942.4634017591798,482.68461440992263,gp
i,61049.15725656565,3848.5177375453777,360.3655476014392,gp
i,61050.72117272727,3813.690845624664,261.65858251880445,gp
i,61052.285088888886,3811.3495852004835,279.8551135018253,gp
i,61053.849005050506,3766.3742175707903,395.2271862976161,gp
i,61055.41292121212,3682.769461283191,494.56175545327324,gp
i,61056.97683737374,3581.711057173754,526.5051209354493,gp
i,61058.54075353535,3484.174374371125,478.8044209331016,gp
i,61060.104669696964,3411.105036115241,360.1983417980359,gp
i,61061.668585858584,3383.5892487944693,214.29691661631966,gp
i,61063.2325020202,3416.222281908651,185.93741061953793,gp
i,61064.79641818182,3459.284166966023,241.96404395628605,gp
i,61066.36033434343,3465.102264547846,251.14797018357552,gp
i,61067.92425050505,3398.4903507319923,283.0580705349616,gp
i,61069.48816666666,3256.328086799702,359.48051595365786,gp
i,61071.05208282828,3071.487522385414,392.024661603778,gp
i,61072.615998989895,2878.383393273709,360.7974429031919,gp
i,61074.179915151515,2708.808292067444,307.0600555067799,gp
i,61075.74383131313,2561.4165527902915,317.9597743474542,gp
i,61077.30774747475,2449.745398540159,436.57695610314437,gp
i,61078.87166363636,2390.402985157958,572.3059160673445,gp
i,61080.43557979798,2370.002900436997,663.6699381493344,gp
i,61081.99949595959,2374.967545988009,688.0056159639953,gp
i,61083.56341212121,2391.8852152631844,639.4177804783341,gp
i,61085.127328282826,2407.4019628982933,524.6396917674733,gp
i,61086.691244444446,2408.113745446055,371.1265413785944,gp
i,61088.25516060606,2380.4608501557486,271.347376917887,gp
i,61089.81907676768,2319.456862629373,322.91606663598435,gp
i,61091.38299292929,2248.3515051947834,372.2695432628878,gp
i,61092.946909090904,2196.020460820324,348.3078261886797,gp
i,61094.510825252524,2191.4541832316245,274.28541889607556,gp
i,61096.07474141414,2261.287848656819,249.54420675296626,gp
i,61097.63865757576,2385.0832086624687,271.97624059819753,gp
i,61099.20257373737,2503.0981672210655,321.2881868605812,gp
i,61100.76648989899,2572.526693010528,406.7188163758369,gp
i,61102.3304060606,2592.151603328035,464.2824815293893,gp
i,61103.89432222222,2567.458453606443,469.8831731087375,gp
i,61105.458238383835,2503.533693870111,450.0744285558341,gp
i,61107.022154545455,2405.5372241255536,473.02308297484615,gp
i,61108.58607070707,2285.322833931179,530.9383610601105,gp
i,61110.14998686869,2160.2194101009663,559.2229133282707,gp
i,61111.7139030303,2047.644011374614,529.6305888608155,gp
i,61113.27781919192,1965.0795747075244,445.5621065091413,gp
i,61114.84173535353,1930.2175915332919,344.8922057708995,gp
i,61116.40565151515,1951.9517588269155,291.3639658369181,gp
i,61117.969567676766,1980.7302181877676,261.6301782817945,gp
i,61119.533483838386,1959.751319871095,244.6264070167108,gp
i,61121.0974,1904.8163233830055,267.7978758379261,gp
r,60966.2447,3017.024533332444,356.2258459252044,gp
r,60967.80844444445,4454.083017959156,346.5931762818931,gp
r,60969.37218888889,6035.366902980053,336.1719826836594,gp
r,60970.935933333334,7645.64615067413,235.15915030083377,gp
r,60972.49967777778,9169.334018711457,111.47314839938375,gp
r,60974.06342222222,10400.606099113314,147.47923404019892,gp
r,60975.62716666667,11194.729913281,289.446438775696,gp
r,60977.190911111116,11620.176800150393,497.2244691992407,gp
r,60978.75465555556,11740.085585626262,692.3886042107679,gp
r,60980.318400000004,11614.441604693284,836.9391340608252,gp
r,60981.88214444445,11294.964128180749,913.0541680444861,gp
r,60983.44588888889,10826.458555089435,912.8927414921578,gp
r,60985.009633333335,10248.022737306504,835.7482192564061,gp
r,60986.57337777778,9594.131067587747,688.0562088887632,gp
r,60988.13712222222,8895.617760570942,486.86972431176537,gp
r,60989.700866666666,8180.578927497255,277.84287221974733,gp
r,60991.26461111111,7477.344131946293,206.654684810829,gp
r,60992.82835555556,6823.888653960494,260.77902574127745,gp
r,60994.392100000005,6224.773786231204,254.82328768884102,gp
r,60995.95584444445,5674.44430227004,276.98973890853534,gp
r,60997.51958888889,5169.506613931356,382.86513065288335,gp
r,60999.083333333336,4709.409533990669,437.9164865742092,gp
r,61000.64707777778,4294.084228122412,399.7951742228564,gp
r,61002.21082222222,3923.834197746936,286.08126210572067,gp
r,61003.77456666667,3598.6526736245255,208.51936287128245,gp
r,61005.33831111111,3292.3998400301057,265.3562138583502,gp
r,61006.902055555554,2963.9196113336084,429.52581396999085,gp
r,61008.4658,2625.7546323121155,586.5769755678682,gp
r,61010.02954444445,2300.8053812262874,679.1420591729451,gp
r,61011.59328888889,2011.8775383169104,687.1287589258548,gp
r,61013.15703333334,1782.3228918561265,606.4093002132813,gp
r,61014.72077777778,1636.6883347561552,446.6718048727186,gp
r,61016.284522222224,1601.385789810266,248.11362538079692,gp
r,61017.84826666667,1702.9596339237223,205.8912952278765,gp
r,61019.41201111111,1909.5183847107603,301.1465401321702,gp
r,61020.975755555555,2126.983353058974,300.2393181707398,gp
r,61022.5395,2258.228060288261,209.30443198453213,gp
r,61024.10324444444,2218.366466187504,162.4212354743201,gp
r,61025.66698888889,2114.120331130191,192.7576302533337,gp
r,61027.23073333334,2067.3454468704376,231.4603842630324,gp
r,61028.79447777778,2028.371659404754,205.30752524677942,gp
r,61030.358222222225,2014.9618959089578,158.90887197171196,gp
r,61031.92196666667,2062.285087983211,167.28521045682822,gp
r,61033.48571111111,2062.538603926532,148.12963649006122,gp
r,61035.049455555556,2053.164944659001,215.2059217813314,gp
r,61036.6132,2055.833308220588,453.405195680074,gp
r,61038.17694444444,2067.833272818877,688.4693492618779,gp
r,61039.74068888889,2085.4917590950427,879.2097392013437,gp
r,61041.30443333333,2104.93877864306,1008.4469020532011,gp
r,61042.868177777775,2122.0048858543837,1067.4771411893041,gp
r,61044.431922222226,2132.1106247184443,1052.8862510748174,gp
r,61045.99566666667,2130.1458154200236,965.687300041169,gp
r,61047.55941111111,2110.336331949398,811.7221273462699,gp
r,61049.12315555556,2066.0957878527233,603.9403769690304,gp
r,61050.6869,1989.8592687499204,371.5110779843158,gp
r,61052.250644444444,1872.8980029334605,213.1397617104356,gp
r,61053.81438888889,1716.3719714973086,236.62559237536843,gp
r,61055.37813333333,1557.7785753161463,208.75293945656395,gp
r,61056.941877777776,1440.2938824594974,146.03726783194938,gp
r,61058.50562222222,1361.4551616896408,219.88045310068293,gp
r,61060.06936666666,1330.9230869643147,248.52844659559614,gp
r,61061.633111111114,1386.5186314984503,164.87786031383723,gp
r,61063.19685555556,1547.9037233484096,140.46599650348242,gp
r,61064.7606,1666.2047709245348,352.4937736722675,gp
r,61066.324344444445,1701.1760800379918,598.5360176923269,gp
r,61067.88808888889,1672.2978824454074,812.9177797717572,gp
r,61069.45183333333,1597.1249418820626,972.9117206196023,gp
r,61071.015577777776,1491.7432396654992,1066.6888819698884,gp
